control_id,area,control,weight,status,evidence_ids,notes
HSTS-01,HSTS,HTTP entry points redirect directly and safely to HTTPS,3,PASS,EVID-0004 EVID-0029,apex direct 301; www 2-hop safe upgrade chain
HSTS-02,HSTS,No redirect loops or downgrades; path+query preserved,3,PASS,EVID-0029,
HSTS-03,HSTS,TLS certificates valid and cover all decision hostnames,3,PASS,EVID-0005,LE cert apex+www to 2026-10-12
HSTS-04,HSTS,Representative pages/assets/errors work over HTTPS,3,PASS,EVID-0006 EVID-0009,
HSTS-05,HSTS,No active or passive mixed content,3,PASS,EVID-0011,
HSTS-06,HSTS,No resource or integration depends on HTTP,3,PASS,EVID-0011 EVID-0012,all third parties HTTPS
HSTS-07,HSTS,www/non-www behavior intentional and certificate-covered,2,PASS,EVID-0004 EVID-0005 EVID-0008,
HSTS-08,HSTS,HSTS not emitted over HTTP; consistent emission plan for HTTPS,2,PASS,EVID-0029,currently absent everywhere (pre-activation)
HSTS-09,HSTS,No operational fallback to HTTP required,2,PASS,EVID-0008,static site; rewrites force HTTPS
HSTS-10,HSTS,Subdomain inventory before includeSubDomains,2,PARTIAL,EVID-0003,only www known; full zone not enumerable → includeSubDomains not approved
HSTS-11,HSTS,Preload criteria verified before preload approval,1,NOT_APPLICABLE,,preload not a candidate; rejected separately
HSTS-12,HSTS,Source/config matches production behavior,2,PASS,EVID-0008 EVID-0010,
HSTS-13,HSTS,Rollback feasibility and renewal reliability assessed,2,PARTIAL,EVID-0005 EVID-0030,renewal history NOT_VERIFIED (crt.sh 502); rollback via max-age=0 viable
HSTS-14,HSTS,Rollout strategy safe,2,PASS,EVID-0008,single host-only directive; activation task + verification task designed
SEO-01,SEO,robots.txt valid with sitemap reference,2,PASS,EVID-0007,
SEO-02,SEO,sitemap.xml valid; URLs canonical and 200,3,PASS,EVID-0007 EVID-0009,13/13
SEO-03,SEO,Unique titles and meta descriptions,3,PASS,EVID-0013,
SEO-04,SEO,Self-referential canonicals consistent with sitemap,3,PASS,EVID-0013,
SEO-05,SEO,Status/redirect hygiene (404 real; slash normalization; legacy 301s),3,PASS,EVID-0006 EVID-0008,
SEO-06,SEO,Single H1; semantic heading order,2,PASS,EVID-0013 EVID-0022,
SEO-07,SEO,Open Graph/Twitter cards with valid images,2,PASS,EVID-0013 EVID-0015,
SEO-08,SEO,Internal links resolve (no broken links),3,PASS,EVID-0015,400 refs OK
SEO-09,SEO,hreflang/i18n handling,1,NOT_APPLICABLE,,single-language site; EN disabled placeholder
SD-01,Structured Data,JSON-LD parses on all pages,3,PASS,EVID-0014,
SD-02,Structured Data,Event required+recommended properties,3,PASS,EVID-0014,startDate location eventStatus offers present
